"List,Category,Course_Code,Course_Name,Units,Subject_Code,Course_Type"
"A,Social_Impact_Tech,ANTH106,Technologies of Being Human,0.50,ANTH,Regular"
"A,Social_Impact_Tech,BET360,Design Frameworks for Social Ventures,0.50,BET,Regular"
"A,Social_Impact_Tech,BET420,Entrepreneurship for Social Impact,0.50,BET,Regular"
"A,Social_Impact_Tech,BME381,Biomedical Engineering Ethics,0.50,BME,Regular"
"A,Social_Impact_Tech,CS492,The Social Implications of Computing,0.50,CS,Regular"
"A,Social_Impact_Tech,ENVS105,Environmental Sustainability and Ethics,0.50,ENVS,Regular"
"A,Social_Impact_Tech,ENVS205,""Sustainability: The Future We Want"",0.50,ENVS,Regular"
"A,Social_Impact_Tech,ERS215,Environmental and Sustainability Assessment 1,0.50,ERS,Regular"
"A,Social_Impact_Tech,ERS315,Environmental and Sustainability Assessment 2,0.50,ERS,Regular"
"A,Social_Impact_Tech,GENE311A,Topics for List A Complementary Studies Courses Taken on Exchange by Engineering Students,0.50,GENE,Exchange"
"A,Social_Impact_Tech,GEOG203,Environment and Development in a Global Perspective,0.50,GEOG,Regular"
"A,Social_Impact_Tech,GEOG207,Climate Change Fundamentals,0.50,GEOG,Regular"
"A,Social_Impact_Tech,GEOG306,Human Dimensions of Natural Hazards,0.50,GEOG,Regular"
"A,Social_Impact_Tech,GEOG368,Ecology and Conservation for Planning,0.50,GEOG,Regular"
"A,Social_Impact_Tech,GSJ205,""Technology, Gender, and Social Justice"",0.50,GSJ,Regular"
"A,Social_Impact_Tech,HIST212,The Computing Society,0.50,HIST,Regular"
"A,Social_Impact_Tech,MSE422,Economic Impact of Technological Change and Entrepreneurship,0.50,MSE,Regular"
"A,Social_Impact_Tech,MSE442,Impact of Information Systems on Organizations and Society,0.50,MSE,Regular"
"A,Social_Impact_Tech,NE109,Societal and Environmental Impacts of Nanotechnology,0.50,NE,Regular"
"A,Social_Impact_Tech,PACS315,Engineering and Peace,0.50,PACS,Regular"
"A,Social_Impact_Tech,PHIL226,Biomedical Ethics,0.50,PHIL,Regular"
"A,Social_Impact_Tech,PHIL228,Ethics and Artificial Intelligence,0.50,PHIL,Regular"
"A,Social_Impact_Tech,PLAN341,Ecology and Conservation for Planning,0.50,PLAN,Regular"
"A,Social_Impact_Tech,SOC232,Technology and Social Change,0.50,SOC,Regular"
"A,Social_Impact_Tech,SOC324,Digital Cultures,0.50,SOC,Regular"
"A,Social_Impact_Tech,STV100,""Society, Technology and Values: Introduction"",0.50,STV,Regular"
"A,Social_Impact_Tech,STV202,Design and Society,0.50,STV,Regular"
"A,Social_Impact_Tech,STV205,Cybernetics and Society,0.50,STV,Regular"
"A,Social_Impact_Tech,STV208,""Artificial Intelligence and Society: Impact, Ethics, and Equity"",0.50,STV,Regular"
"A,Social_Impact_Tech,STV210,The Computing Society,0.50,STV,Regular"
"A,Social_Impact_Tech,STV302,Information Technology and Society,0.50,STV,Regular"
"A,Social_Impact_Tech,STV304,Technology in Canadian Society,0.50,STV,Regular"
"A,Social_Impact_Tech,STV305,""Technology, Society and the Modern City"",0.50,STV,Regular"
"A,Social_Impact_Tech,STV306,Biotechnology and Society,0.50,STV,Regular"
"A,Social_Impact_Tech,SYDE261,""Design, Systems, and Society"",0.50,SYDE,Regular"
"B,Engineering_Economics,AE392,Economics and Life Cycle Cost Analysis,0.50,AE,Regular"
"B,Engineering_Economics,BME364,Engineering Biomedical Economics,0.50,BME,Regular"
"B,Engineering_Economics,CIVE392,Economics and Life Cycle Cost Analysis,0.50,CIVE,Regular"
"B,Engineering_Economics,ENVE392,Economics and Life Cycle Cost Analysis,0.50,ENVE,Regular"
"B,Engineering_Economics,GENE311B,Topics for List B Complementary Studies Courses Taken on Exchange by Engineering Students,0.50,GENE,Exchange"
"B,Engineering_Economics,GEOE392,Economics and Life Cycle Cost Analysis,0.50,GEOE,Regular"
"B,Engineering_Economics,MSE261,Engineering Economics: Financial Management for Engineers,0.50,MSE,Regular"
"B,Engineering_Economics,SYDE262,Engineering Economics of Design,0.50,SYDE,Regular"
"C,Liberal_Studies,AE101,History of the Built Environment,0.50,AE,Regular"
"C,Liberal_Studies,AE491,Engineering Law and Ethics,0.50,AE,Regular"
"C,Liberal_Studies,AFM131,Introduction to Business in North America,0.50,AFM,Regular"
"C,Liberal_Studies,AFM333,International Business,0.50,AFM,Regular"
"C,Liberal_Studies,ARCH510,Special Topics in Visual and Digital Media,0.50,ARCH,Regular"
"C,Liberal_Studies,ARCH520,Special Topics in Urbanism and Landscape,0.50,ARCH,Regular"
"C,Liberal_Studies,ARCH540,Special Topics in Architectural History and Theory,0.50,ARCH,Regular"
"C,Liberal_Studies,ARCH580,""Special Topics in Race, Equity, and Environmental Justice"",0.50,ARCH,Regular"
"C,Liberal_Studies,AVIA100,Introduction to Aviation,0.50,AVIA,Regular"
"C,Liberal_Studies,BME530,The Healthcare System,0.50,BME,Regular"
"C,Liberal_Studies,CIVE491,Engineering Law and Ethics,0.50,CIVE,Regular"
