Program,Calendar_Year,Requirement,Required_Total,Rule,Bucket,Course_Code,Course_Title,Helps_Fulfill_Option
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 1 (AE TEs),AE 301,Building Enclosure Systems,Building Systems & Energy
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 1 (AE TEs),AE 315,Building Structural Systems,Building Systems & Energy
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 1 (AE TEs),AE 405,Building Performance Measurement Lab,Building Systems & Energy
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 1 (AE TEs),AE 450,Building Service Systems,Building Systems & Energy
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 1 (AE TEs),AE 495,Design Intensive Special Topics in Architectural Engineering,Architectural Engineering TE (List 1)
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 1 (AE TEs),AE 572,Building Energy Analysis,Building Systems & Energy
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 1 (AE TEs),AE 573,"HVAC Systems, Equipment, and Energy Efficiency",Building Systems & Energy
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 1 (AE TEs),ARCH 570,Special Topics in Building Technology and Environmental,Building Systems & Energy
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 1 (AE TEs),ME 452,HVAC Load Analysis and Design Fundamentals,Building Systems & Energy
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 1 (AE TEs),ME 572,Building Energy Analysis,Building Systems & Energy
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 1 (AE TEs),ME 573,"HVAC Systems, Equipment, and Energy Efficiency",Building Systems & Energy
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 2 (Design-Intensive),ARCH 463,Integrated Environmental Systems,Design-Intensive (List 2)
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 2 (Design-Intensive),CIVE 413,Structural Steel Design,Structures
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 2 (Design-Intensive),CIVE 414,Structural Concrete Design,Structures
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 2 (Design-Intensive),CIVE 415,Structural System Design,Structures
Architectural Engineering,2023-2024,Technical Electives,7,"7 TEs: 3 from List 1, 2 from List 2, remaining 2 from Lists 1–3.",List 2 (Design-Intensive),CIVE 460,Engineering Biomechanics,Design-Intensive (List 2)
